,States,Male,Female,Total
0,Andhra Pradesh,13414,899,14313
1,Arunachal Pradesh,90,2,92
2,Assam,7957,306,8263
3,Bihar,30159,1100,31259
4,Chhatisgarh,15019,821,15840
5,Goa,495,28,523
6,Gujarat,11481,577,12058
7,Haryana,16814,830,17644
8,Himachal Pradesh,1903,96,1999
9,Jammu & Kashmir,2265,87,2352
10,Jharkhand,17370,850,18220
11,Karnataka,13534,584,14118
12,Kerala,7205,190,7395
13,Madhya Pradesh,33622,1086,34708
14,Maharashtra,25841,1559,27400
15,Manipur,625,35,660
16,Meghalaya,839,11,850
17,Mizoram,804,66,870
18,Nagaland,475,12,487
19,Orissa,13832,641,14473
20,Punjab,25985,1464,27449
21,Rajasthan,18631,662,19293
22,Sikkim,222,8,230
23,Tamilnadu,14014,707,14721
24,Tripura,876,25,901
25,Uttar Pradesh,80206,3312,83518
26,Uttaranchal,3663,182,3845
27,West Bengal,21385,1393,22778
28,A & N Islands,1141,8,1149
29,Chandigarh,637,24,661
30,D & N Haveli,35,0,35
31,Daman & Diu,55,1,56
32,Delhi,12937,615,13552
33,Lakshadweep,0,0,0
34,Pondicherry,273,7,280
35,All India,393804,18188,411992
